#{"t_start": 1759841860.184843, "env_id": "None"}
r,l,t
-356.0,75,1271.894745
-4.0,2,1272.096948
-20.0,6,1272.561344
-37.0,9,1273.135652
-376.0,75,1278.422354
-12.0,4,1278.745339
-4.0,2,1278.913318
-4.0,2,1279.083478
-8.0,3,1279.315823
-230.0,46,1282.62816
-4.0,2,1282.812582
-8.0,3,1283.104381
-46.0,10,1283.781603
-4.0,2,1283.904548
-371.0,75,1314.615046
-53.0,13,1315.509571
-4.0,2,1315.741792
-83.0,18,1317.0076
-366.0,75,1322.097219
-8.0,3,1322.360556
-12.0,4,1322.731155
-12.0,4,1323.085599
-4.0,2,1323.301173
22.0,17,1324.182819
-8.0,3,1324.430998
64.0,9,1325.095265
-4.0,2,1325.234082
-8.0,3,1325.434303
-4.0,2,1325.635825
-4.0,2,1325.821281
-4.0,2,1326.035579
-4.0,2,1326.176492
-4.0,2,1326.392185
-4.0,2,1326.595035
-32.0,9,1327.196184
-8.0,3,1327.380492
-45.0,11,1328.106526
-4.0,2,1328.399063
-4.0,2,1328.616542
-142.0,29,1330.5487
-361.0,75,1335.403973
-366.0,75,1340.275654
-20.0,6,1340.834516
-4.0,2,1341.019592
-4.0,2,1341.234561
-12.0,4,1341.696771
-4.0,2,1341.911801
-4.0,2,1342.160304
-4.0,2,1342.30091
-8.0,3,1342.564814
-8.0,3,1342.812244
-4.0,2,1343.045202
-4.0,2,1343.322995
26.0,16,1344.233531
-366.0,75,1349.015354
-4.0,2,1349.154782
-4.0,2,1349.387753
-4.0,2,1349.526207
-4.0,2,1349.712829
-4.0,2,1349.88248
-8.0,3,1350.316321
-4.0,2,1350.532069
-8.0,3,1350.858004
-4.0,2,1351.214644
-4.0,2,1351.447517
-4.0,2,1351.680311
-4.0,2,1351.819803
60.0,10,1352.395208
-204.0,42,1355.221164
-8.0,3,1355.547123
-315.0,66,1360.059253
-361.0,75,1364.77401
-8.0,3,1365.05149
-8.0,3,1365.296656
-361.0,75,1370.38547
-4.0,2,1370.651346
-50.0,11,1371.609434
-4.0,2,1371.778444
-92.0,19,1373.081101
-12.0,4,1373.315251
-4.0,2,1373.49963
-4.0,2,1373.715548
-66.0,15,1374.908261
-193.0,62,1379.400926
-16.0,5,1379.772897
-112.0,24,1381.505678
-4.0,2,1381.691716
-4.0,2,1381.89319
-57.0,14,1383.020104
-4.0,2,1383.220341
-366.0,75,1388.162796
-75.0,16,1389.274493
-4.0,2,1389.489779
-4.0,2,1389.660265
68.0,8,1390.170256
-16.0,5,1390.538971
-41.0,10,1391.234566
-4.0,2,1391.498573
-50.0,11,1392.350601
-4.0,2,1392.520927
-4.0,2,1392.768259
-63.0,13,1393.85799
-4.0,2,1394.026754
-4.0,2,1394.225492
-320.0,66,1398.693493
-235.0,51,1402.135372
-37.0,9,1402.76948
-37.0,9,1403.468946
-50.0,11,1404.195274
-29.0,7,1404.750939
-66.0,15,1405.799919
